date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4.AS.rep1	Aggie.V4.AS.rep2	Aggie.V4.AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee.AS.rep1	Barbee.AS.rep2	Barbee.AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3
2/28/23	18728142111	24120233976	20813267993	9875897860	10635890162	25405882569	1.23557E+11	41940107190	2.14424E+11	1.03468E+11	1.40058E+11	24316949079	24979235	21144559	25424124	2411644355	2104547481	8153158414	21441777477	19317208933	24164154867	31509616358	1.13622E+11	22300739775	8989057788	9375156731	7405077454	2505962254	2218279798	2836846167	2575280829	2951833019	3856253418	1.05465E+11	89439277688	2.62608E+11
3/2/23	26458000000	21988000000	18728000000	5904540092	9646678645	8038131786	61801000000	47496000000	60654000000	23417000000	76285000000	6521594485	20772000000	18940000000	14690000000	12698000000	12774000000	14362000000	359359964	363538120	284751450	443528533	998835108	198951644	290268023	469252433	816412966	16619000000	8009829270	25755000000				858661319	9998278644	1349147544
3/14/23	62177059055	93286325411	1.38092E+11	20578439377	31927906654	13481863679	19092206756	12127436346	6104517627	2.26475E+11	1.0357E+11	1.52178E+11	29972030929	24776761053	22930188879	24865361154	34702495051	27183890140	17000175429	8198797981	5885025078	10845382078	9881799379	120268471	2579239150	1335174206	3607874825	29164806203	19464963570	23557603100	51174358933	42433080016	42681048865	1343275501	5738213345	5130055593
3/15/23	1390076782	1239914292	1634359932	3940866579	4788435195	4899027076	2376456110	3864702372	3837757582	1210569533	981188501	1240813400	137958476	208212788	180811581	50788865	169339850	209735828		7726906826	6269036096	1707096923	1743360317	1233680841	7918784069	7811337913	12962000000	5514517589	3760844861	5866181567	2674154203	3237884613	6899387097	11762000000	13000000000	13701000000
3/20/23	99576175539	88349803750	24486576469	53452874329	70313303968	60821104013	32369448394	5338587095	6863066469	1532001378	24870022288	9120820133	13955582935	21103657351	29721221686	5104109329	5777372357	12151083830	9.80692E+11	7.60497E+11	9.18814E+11	2514538007	2275939584	632961952	19252633007	15502650110	18854381927	66072668693	84188177751	95053840966	1.16414E+11	1.54807E+11	1.85601E+11	19886229533	46970484850	19271292271
3/22/23	3.1776E+11	2.936E+11	5.8917E+11	1.5989E+11	1.3402E+11	1.1475E+11	4.0594E+11	10233000000	2.6566E+11	1.0234E+12	1.6203E+12	3.0232E+11	27745000000	43048000000	36961000000	1931773539	2515725733	2952232750	4.6232E+11	5.7746E+11	4.3886E+11	3757276879	6008639724	2180423122	37776000000	54806000000	42840000000	1.1693E+11	1.3251E+11	1.8704E+11	13273000000	14248000000	13915000000	15707000000	23908000000	7797462678
3/27/23	712837119	592823223	712519660	5762210893	5068505972	5323742322	9.1421E+11	6.8064E+11	9.4306E+11	1.1174E+11	62827000000	46718000000	22492000000	28208000000	15987000000	72579000000	1.287E+11	1.1517E+11	20273000000	15212000000	22999000000	21630000000	20835000000	5558846327	40144000000	60183000000	24154000000	2.4697E+12	1.4394E+12	2.711E+12	13222000000	15452000000	13205000000	30364000000	14908000000	8568919674
3/29/23	81823000000	54012000000	32680000000	26248000000	36048000000	27281000000							3153720351	4298862592	4878339458	6436817595	7541688307	8856566785	3.9766E+11	2.7848E+11	3.7852E+11	81049000000	1.3408E+11	52058000000	21395000000	26246000000	23651000000	11776000000	14075000000	7151060233	15451000000	13238000000	9253275191	14169000000	13062000000	4545670508
4/3/23	3.3311E+11	4.1916E+11	4.9566E+11		2.0443E+11	2.0414E+11	2.5526E+11	7.5912E+11	8.9678E+11	97985000000	63934000000	57851000000	1.5902E+12	1.1782E+12	1.6892E+12	9079348291	8718962878	15324000000	3440280973	6371323039	4186078488	11377000000	17434000000	10210000000	539800493	504264610	813744634	12759000000	10344000000	14801000000	16245000000	17702000000	20844000000	96477000000	71914000000	50188000000
4/5/23	3.6852E+11	3.2127E+11	3.2856E+11	91618000000	93254000000	1.2389E+11	6570261409	4103955605	3658088299	222692323	161411598	107858192	83214000000	89026000000	93705000000	999397044	744517495	1050757184	49764000000	45024000000	37561000000	1625386403	2226145055	1001205730					673431314	3130749876	436233672	645247489	577191754	5481737712	7564211889	6087706454
4/10/23							31161646820	20235813682	23858478452	7797770923	6278288163	5431621382	596480	36966	18031	14859390637	20191939936	29115555225							206849112	294174575	30828294	3150115021	2642806388	2323322287	1051009930	1468644022	1476641379	3053732508	2212946613	3506574424
4/12/23	3272752442	2816378660	3439702036	5185259738	5354412486	7643140081	14091000000	16630000000	13845000000	10063000000	4571959004	10020000000	6452842569	4930049631	7713972888	9924823251	8743379222	8619340811	4106858917	4497412470	3988267551	17805000000	18481000000	14798000000	14751000000	14185000000	6785884735	2.7253E+11	72115000000	2.6884E+11	2102768248	4082468130	3325626649	25763000000	72371000000	37402000000
4/17/23	37514661113	47908876838	58430563954	23545142598	35327865324	22757895987	7616992614	16238444571	10144600050	6761482286	4398384165	4190036021	8742157503	20579560558	13312907186	1.91034E+11	1.94173E+11	2.01413E+11	41907445673	38473801131	42719065380	5131999217	20969005038	5176356396	3135575944	3316364708	4460585453	3246805958	3327305900	225857023	4.92448E+11	4.63902E+11	4.65909E+11	39170095565	45865007525	25709128824
4/19/23	17136000000	64646000000	9569452892	23536000000	26912000000	33607000000	9185891095	8295488684	7915870235	9555338284	8210614582	6829868529	6348904528	7824593790	7202245504	3277745207	2965918339	5120713987	19811000000	38010000000	34125000000	33590000000	42383000000	22941000000	10073000000	11767000000	9780543321	36573000000	37958000000	31330000000	389540392	3300046900	3969964256	2355499176	6572163719	1495014779
4/24/23	51071498044	868430280	1.01417E+11	1.54057E+11	1.89552E+11	98847623006	1.64526E+11	1.13347E+11	66363339170	2.84208E+11	73413199879	2.79386E+11	1727071999	3213279737	2381788519	75326072299	73346336622	58611739448	3.62506E+11	4.39603E+11	4.63258E+11	2.67778E+12	3.12213E+12	9.58553E+11	10474624140	10762537238	17660325158	23207334806	20039538702	27784223165	2.96966E+12	2.73563E+12	2.78007E+12	5.73374E+11	5.64309E+11	1.2723E+12
4/26/23	25671000000	58883000000	54855000000	39609000000	37976000000	48866000000	72862000000	96953000000	1.0308E+11	1.2727E+11	77706000000	43740000000	57541000000	57936000000	46499000000	1.1277E+11	1.7578E+11	2.207E+11	9.1212E+15			27542000000	25644000000	9098879376	2.0399E+11	1.507E+11	1.5821E+11	24848000000	29717000000	34569000000	432540569	24746000000	19185000000	2.3316E+11	2.4966E+11	83040000000
