date	Aggie.V4.rep1	Aggie.V4.rep2	Aggie.V4.rep3	Aggie.V4-AS.rep1	Aggie.V4-AS.rep2	Aggie.V4-AS.rep3	Barbee.rep1	Barbee.rep2	Barbee.rep3	Barbee-AS.rep1	Barbee-AS.rep2	Barbee-AS.rep3	Morrow.rep1	Morrow.rep2	Morrow.rep3	Holland.rep1	Holland.rep2	Holland.rep3	Aggie.V1.rep1	Aggie.V1.rep2	Aggie.V1.rep3	Aggie.V3.rep1	Aggie.V3.rep2	Aggie.V3.rep3	Aggie.VE.rep1	Aggie.VE.rep2	Aggie.VE.rep3	Haley.rep1	Haley.rep2	Haley.rep3	Cooper.rep1	Cooper.rep2	Cooper.rep3	Pride.rep1	Pride.rep2	Pride.rep3	Aggie.V6.rep1	Aggie.V6.rep2	Aggie.V6.rep3
4/12/22	198825000000	206489000000	284280000000	178480000000	201232000000	185029000000	14872098949	12474874412	8535256044	21058995478	28086261082	7792818339	44059266831	41431647327	70243507746	8739344070	11079311146	17670424773	21350346773	29990580153	14911399019	3041760097	5511981182	2319645068	3774540008	5031776371	6342738740	71962587459	79066182416		39239717505	26756217891	43180336652	104058000000	43199681620	35073644705			
4/14/22	123798000000	134711000000	150173000000	10734802611	46597259418	1725600967				253204138	152378206	56714485	2923006526	6322646689	6811242103	825193525	11976830635	1800016684	577909701	128023867	162220645		32231		1872862	12154679	1072832	2013289		213932	45576035	128501366	27773574						
4/19/22	39115263067	57614328691	39135922626	100372000000	67899383117	100461000000	34154031032	19375936783	13729086015	45194855386	38311429723	1499970471	4751882728	8805558774	7009286773	672733161	467010849	862209671	303433000000	300376000000	306574000000	74711800319	101099000000	15068183126	49789461038	53131491343	46125663226	183953000000	913560	62307006441	77573162122	70029089210	39131999734	146206000000	143762000000	37422530331			
4/20/22	561034000000	979974000000	22009794581	252496000000	49453009676	81257085214	593750000000	795759000000	831205000000	3755850000000	3933000000000	2563540000000	354664000000	795899000000	93517623390	377839000000	227107000000	165712000000	3846553338	2412518482	3141714309	1502429254	840497551	553439367	1590120000000	2095040000000	194270000000	795595000000		296875000000	210853000000	283821000000	239060000000	225483000000	36200188015	93399492149			
4/28/22	98048201815	106678000000	106499000000	38542258691	38929577463	40305436441	13867476194	2278430000000	2330910000000	3954510000000	2971140000000	3242990000000	4621790000000	6179810000000	4779230000000	4616070000000	4505230000000	4905420000000	752331000000	1551980000000	1126750000000	99695599515	92924362490	60199482235	543965000000	529813000000	697548000000	326519000000	380548000000	294450000000	63313637279	42829578218	56768452694	201301000000	99374809227	94036693641			
5/3/22	298059000000	316512000000	55555855127	134697000000	8345116314	3929596682	6007667109	161324215	39078178	2758536448	2578630396	40940488	53715128779	53702608293	34095560996	1100055376	1552921470		98286482335	94207262924	17708163849	21939991508	20509320507	3793284851	56692673089	45513621709	68970980550	601571000000	751642000000	107078000000	134887000000	138473000000	26213595451	1225410000000	887606000000	7231403130			
5/5/22	15242000000	535755503		15781000000	10840000000	1077441434	9998572600	33039000000	16876000000	8614336779	1578560640	472281181	57758000000	16852000000	23370000000	21616000000	23095000000	24927000000	69601000000	93394000000	91382000000	275447	103109	135558	1620617982	1384866016	1403983472	23926000000	59459000000	18279000000	51040000000	18284000000	20218000000	109390000000	71346000000	3571774571			
5/10/22	30910366782	43471475346	46625249197				14544986	996530	7277529	117545026	143709874	181874651	107277000000	15982472710	58622222382			411228	198300000000	57947209031	195803000000	8438470	13350683	7274320	5501691416	9585442695	7824217456	85822971532	83996179452	87095659266				64282517604	96447704759	75353789526			
5/12/22									7573543	3327384983	2305143428	2319964501																											
6/1/22	58405456940	34786223309	48744722855	61642700000000		855555141	17526950522	10586273328	16291868547	20300620365	2799487888	1786640000000	1522422012	1209271839	414451515	165446800	56064436		307448844	235182024	249355860	324137000000	305954000000	30380012484	16907057	259006040	44703980	5118112837	1274470747	4130769368	35567778136	22358118357	1752926379	37320069779	30189189521	6892946586			
