date	Aggie V4	Aggie V4-AS	Barbee	Barbee-AS	Morrow	Holland	Aggie V1	Aggie V3	Aggie VE	Haley	Cooper	Pride	Aggie V6
01/27/2022	14787641.87	17254594.3	190317.7636	218968.586	605276.902	451407.147	615145.336	8496380.17	1647483.95	2886502.687	1964398.43		55287754.6
1/2/22	1016615.705	515863.415			524400.943		5097596.91	931586.964	2928826.007	914532.9833	2297051.46	7466964.13	2296216.55
3/2/22	310345.3453	1704724.09	1005758.95	458269.455	598876.201	262806.41	26017809.6	18553266.4	1850620.429	2593993.573	37815191.7	306629.976	7.131E+16
10/2/22	2615566.898	24461510.6	431062.3175				425997.787		796639.678	205447.95			
02/17/2022	919738.5413	1078177.36	492618.6965	266784.676			947895616	137704.801			130293.362		403374.26
1/3/22		681.839711	214221.2279	46079.895	1173.19019		383.200991			1447.547324	970.667378	1957.51192	
3/3/22	8382.945561		9312.804645			8945.49548							
03/15/2022					6030896.97								
5/4/22	24621025.63	39606777.1	1709256.625	1484657.33	7762772.86		3325097.06	1131990.81	4757893.415	37112311.15	2751437.54	11806152.3	
7/4/22	2349435.153	2629452.15	208214969.3	30887882.3	7999963.48		44611259		5710369.767	22924258.47	10676464.1	40908843.3	
12/4/22	8704459.327	12096571.9	12048933.07	8114980.5	4611794.37	36343689.2	16515523	55431232	1080549.369	3199704515	19628539.3	350243274	
04/14/2022	47522778.57	79496335		2353609.16	66859975.8	1744159349	20339018	62696.6264	11410686	5273303.14	4407196.76		
04/19/2022	228974342.3	2430584584	5296745556	2527465728	166287276		661056303	1018023370	6786751938	12170500000	4794861762	1725100818	
04/20/2022	2452796992	1132379203	1951817406	1140394442	921603509	34188973.6	46932636.7	13436360.2	10358176529	4322680321	616893164	6355193834	
04/28/2022	581157.793	190032.445			502835.407		557513.551		438278.736	47290032.43	296914.589	7808487.5	
3/5/22	20384.9097	31449.4028	33089.03115	5831.111765	33990.61187	540674.9357		11470.28827	17458.72005	11531.1992	10534.73722	173929.547	
5/5/22										18478.77811		21320.8995	
10/5/22	33338.62885		10461.71706	4955442.135				68079.779				79448.7863	
12/5/22			531913.6524										
1/6/22	204410.0724		839043.454	697079.449	463930.4205			3880840.05				311974439	
6/6/22									281027.6434		1934663.535		
06/13/2022			10295301.6	8420716.143	26514806.3			2158286.17		191553408.7	3818143.42		
06/20/2022	10297881.08	14742286.85			1559369622			1830685441	30877222.45				
1/7/22		8371.708503	45265.5126	26135.8029	8043.979645							4824.67485	
5/7/22	2215378.963		5240056.075		3915980.367				1793445.14	2420643.96			
12/7/22			3039358.68	1866744.007	12063489		124660609	3847783007				3192224.02	
07/25/2022	18455.3189	7656548.377	2665522.447	841615.6937		1337659.977	177767.1413	120860.595	13456.25798		8454.809037	15032.099	
1/8/22	56465.35556				1961046.364	1007180.39	228761.379			25390.71795	94357.72324		
8/8/22	10916961.06		989970.8192	1469312.832	468960.5073	1178519.815	454752.2175	48185.60513	363932.3734	184066.4463	14933.7602	1984398.83	
08/16/2022	58808.69267		58808.69267		13392.58592	4624.994455	21322.8571	7241.16621	39517.2127	555735.96	10242.34738	13335183.6	
08/17/2022	1706580.673		37364574.43		92605766.27	2578071.983		3402.62229	94026.1751	32951424.5	25986.8509		
08/22/2022	8910080	13753340.4	13723718.87	7304213.25	37782186.67	55213788.27	22572694.57	2138881.973	4599287.58	36297926.8	8116745.723	17633499.5	
08/24/2022	414794795.7	1049967106	28276673.71	31996325.89	12601941.41	60919762.66	32983047.87	37888236.7	14343153.21	3026856696	7377687.057	1281159559	
08/29/2022	8891878.707	304984970	3486299.3	6684359.09	21435247.6		47519923.4	27217116.93	2994577.41	23446087.3	69585491.27	3410550.19	
08/31/2022			7142738.677	6898266.037	2705565.74	2587023.137	1016334767	4161590.737		2091055.069	2047189.447	2048540.01	
7/9/22		3396861.523				144060430.3				5174642.58			
8/9/22	6347829.14	2393676.245			2568188.207	3930993.42	707860.836	1098615.226		2767521.945	1293893.182	800237.281	
12/9/22	2759839.203	6385504.287	2695578.923	4707609.5	8209660.66	4487283.39	1446258.103	2424818.227		2930168.927	3542827.527	2247555.5	
09/14/2022	2489003.42	1749626.94	6354770.023	1774221.043	3553736.69	7191634.69	15499962.33	16296487.13	5610377.27	2879580.037	6959717.133	7369891.47	
3/10/22			26111668.9	6832606.358	6600689.925	46514616.2	5286000.707				38089431.22	274266359	
5/10/22	48027413.5	71297369.03	740468166.7	29684502.7	58704635.23	357330075	148902808.2	69526129.6	136373182.3	444942819.3	166283222	32483944.7	
12/10/22	65632559.7	93576828.9	53056234.4	27394955.2	55917996.95	55960126.33		103609881.4	48826904.53	24584424.5	27526174.45	27933273.3	
10/13/2022	29112657.63	127510765.3			271925560.3		160156212.3			90699660.2	61431620.33	101934683	
10/17/2022							682125.693	729608.5425	171157.3237	776401.2489	12562321.44		
10/19/2022		175298.4825	2313750.93	7501538.627	752182.99							297919.385	
10/24/2022				1893889.372	2543224.31	33163427.8	3009812.565		429068645.3	25797271.03	8909718.277		
10/26/2022			6943179.725	3682917.625	654626.996		3947242.74	1705202.592	112818270.7	5177910.257	7070812	2091333.95	
10/31/2022			1399911412	5423950.617	876238.757	114189.4636					284935.2853		
1/11/22				217093.194	417667.7883		446085.333			259564.853	512891.351	289726.246	
8/11/22			1907986.003	915701.9403	1663802.824								
10/11/22	192627.4565	386138.228	408895.3647	382976.3755	526479.467	1730298.305	232954.932				694339.252		
11/14/2022	946997.8657	327640.007	5171748.583	1342054.362	5332778.477								
11/16/2022	2250298.627	3158190.283	7408003	769865.517	1704426.517	2887215.633	568662.7225	2054384.928	489602.5917		706475.8373		
11/28/2022	93732.08638	50846.16422	35621109.23	20953499.8	8045720.753	58819.49567		572344.0634	1288920.948	28511551.5	6294682814	20876088.6	
11/30/2022				8174.52039									
5/12/22	38191.67515	435341.4437	177989.2797		809551.462	354138.767	2108770.79	312456.9192			769771.665	249208.089	
7/12/22	3929594.95	1354026.988	65768.48683		114756.5922	126608.9197					552754.9267		
01/05/2023	3.27287E+18	1.17481E+22	3.90737E+23	1.04831E+22		9.61347E+22	1.06562E+23			3.79771E+21	3.34693E+22	6.13872E+23	
01/06/2023	1.66187E+21	7.96714E+20			6.13583E+22			1.3341E+24			1.33912E+23		
01/10/2023	5015617.175	11770391.33		4560365.443	19344631.3				12811864.8	18301468.95	51099517.23	16804354.87	
01/12/2023					9723481.27		12008712.28		4355663.71	16487519.77	3426956.47	28178401.93	
01/17/23	19039.8178	3067.092	32132.98603	6583.932427		916.438806	51174.95207		1222.476345	249.780489	12390.80136		
01/19/23		4612.51826	63590.52687	49818.05057	3137.550343	689.979667	507.804072		402.179922	40581.4695	44348.0481	125816.0107	
01/24/23	8011.488747	38724.04863	5028.99584	1095.814413		95923528.23	2555.880572		2588698.09	138438149.3	9062.970265	1246887.82	
01/31/23	73203.45783	602793.0637	1610805167	31491921.63	6645020.633	375874.216	1133981.928	1479627.693	82135.8513	72650.1917	1255117.767	1848718.775	
02/03/23	10875930.21	7169301.023	5046849.217		6699152.617	346973.637	27482791.77	5984070.047	764893.1107	68714156.27	12065316.86	86062984.01	
02/06/23			28584.40346			3160.720487	13969.22607	996.4556395	17809.60333	112426.5606		149749.2227	
02/07/23	2764.72189	22134.2769	1773.856333		87850.80853	83979.82852			13614.36761	14727.25663	37257.30277	4099.9203	
02/13/23		566.631964	1199.294595	645.0457893	449.1012803		1281.419225	228597.1316	8144.689923		3100.65174	27902.55985	
02/15/23	23150.88283	2893.62727	263.6750213	470.47419			18586.51091	39370.09123		6833.86891	11135.67753	557.57328	
02/21/23	366983.8945	661520.0673	1446954.507	604713.8617	902665.0845	132165.4842		2962291.3	7587436.897	202043.7445	472698.5367	485966.369	
02/28/23	17224014.9	4614545.841	10390828.94	5631328.085		13437857.9	1699702.68	3957329.23	1331395.948	11300754.99	7042457.587	12508365.2	
03/02/23	5370223.377		2178461.41	1642884.174	1760476.103	1890508.812	1066210.538			25623299.67		1378696886	
