Date	Molecular (PCR) Positive Cases by Specimen Date	Antigen Positive Cases by Specimen Date	Total Cases That Were Reinfections	Deaths by Date of Death
19/08/2020	"1,718"	81	0	26
18/08/2020	"1,964"	83	0	40
17/08/2020	"1,982"	112	0	32
16/08/2020	629	16	0	31
15/08/2020	755	29	0	27
14/08/2020	"1,535"	50	0	16
13/08/2020	"1,480"	75	0	24
12/08/2020	"1,502"	78	0	32
11/08/2020	"1,470"	98	0	29
10/08/2020	"1,718"	72	0	33
09/08/2020	584	14	0	35
08/08/2020	716	16	0	22
07/08/2020	"1,390"	31	0	40
06/08/2020	"1,466"	77	0	24
05/08/2020	"1,715"	49	0	25
04/08/2020	"1,535"	53	0	33
03/08/2020	"1,896"	91	0	24
02/08/2020	707	18	0	25
01/08/2020	771	11	0	41
31/07/2020	"1,706"	46	0	30
30/07/2020	"1,790"	54	0	32
29/07/2020	"1,824"	78	0	25
28/07/2020	"1,996"	71	0	25
27/07/2020	"2,110"	64	0	32
26/07/2020	703	16	0	21
25/07/2020	866	24	0	23
24/07/2020	"1,945"	53	0	22
23/07/2020	"1,819"	55	0	31
22/07/2020	"2,000"	68	0	27
21/07/2020	"2,264"	68	0	25
20/07/2020	"2,325"	41	0	31
19/07/2020	812	6	0	20
18/07/2020	959	4	0	17
17/07/2020	"1,928"	29	0	23
16/07/2020	"2,073"	45	0	22
15/07/2020	"2,225"	36	0	16
14/07/2020	"2,450"	47	0	25
13/07/2020	"2,461"	32	0	13
12/07/2020	858	5	0	27
11/07/2020	981	12	0	17
10/07/2020	"2,133"	19	0	24
09/07/2020	"2,156"	22	0	12
08/07/2020	"2,538"	19	0	17
07/07/2020	"2,793"	22	0	14
06/07/2020	"2,519"	28	1	19
05/07/2020	759	3	0	19
04/07/2020	581	8	0	17
03/07/2020	"1,343"	9	0	12
02/07/2020	"2,024"	12	0	12
01/07/2020	"2,058"	11	0	11
30/06/2020	"2,293"	15	0	22
29/06/2020	"2,507"	13	0	17
28/06/2020	"1,037"	1	0	12
27/06/2020	933	0	0	12
26/06/2020	"1,963"	8	0	15
25/06/2020	"1,948"	5	0	17
24/06/2020	"1,899"	5	0	12
23/06/2020	"2,083"	5	0	18
22/06/2020	"2,029"	3	0	9
21/06/2020	698	0	0	20
20/06/2020	758	0	0	12
19/06/2020	"1,611"	5	0	17
18/06/2020	"1,766"	3	0	16
17/06/2020	"1,710"	1	0	13
16/06/2020	"1,584"	0	0	9
15/06/2020	"1,690"	0	0	8
14/06/2020	545	0	0	23
13/06/2020	684	2	0	21
12/06/2020	"1,434"	0	0	12
11/06/2020	"1,428"	1	0	12
10/06/2020	"1,446"	1	0	12
09/06/2020	"1,546"	0	0	13
08/06/2020	"1,655"	0	0	21
07/06/2020	435	1	0	13
06/06/2020	482	0	0	17
05/06/2020	"1,318"	2	0	21
04/06/2020	"1,344"	2	0	10
03/06/2020	"1,436"	0	0	19
02/06/2020	"1,265"	1	0	21
01/06/2020	"1,507"	0	0	17
31/05/2020	332	0	0	21
30/05/2020	444	0	0	19
29/05/2020	"1,110"	0	0	20
28/05/2020	"1,015"	0	0	19
27/05/2020	994	1	0	25
26/05/2020	"1,365"	0	0	28
25/05/2020	369	0	0	32
24/05/2020	263	0	0	19
23/05/2020	340	0	0	22
22/05/2020	744	0	0	20
21/05/2020	861	0	0	18
20/05/2020	836	0	0	15
19/05/2020	964	1	0	19
18/05/2020	"1,064"	0	0	12
17/05/2020	193	0	0	15
16/05/2020	285	0	0	11
15/05/2020	705	0	0	8
14/05/2020	758	0	0	14
13/05/2020	711	0	0	14
12/05/2020	677	0	0	18
11/05/2020	765	0	0	15
10/05/2020	118	0	0	25
09/05/2020	193	0	0	11
08/05/2020	541	0	0	19
07/05/2020	618	0	0	19
06/05/2020	709	0	0	12
05/05/2020	554	0	0	25
04/05/2020	689	0	0	18
03/05/2020	173	0	0	19
02/05/2020	182	1	0	13
01/05/2020	451	0	1	17
30/04/2020	462	0	0	14
29/04/2020	436	0	0	19
28/04/2020	435	0	0	15
27/04/2020	559	0	0	15
26/04/2020	120	1	0	24
25/04/2020	255	0	0	21
24/04/2020	579	0	0	16
23/04/2020	508	0	0	17
22/04/2020	437	0	0	13
21/04/2020	463	0	0	20
20/04/2020	438	0	0	18
19/04/2020	121	0	0	15
18/04/2020	139	0	0	19
17/04/2020	259	0	0	14
16/04/2020	541	0	0	26
15/04/2020	376	0	0	23
14/04/2020	284	0	0	16
13/04/2020	283	0	0	17
12/04/2020	112	0	0	18
11/04/2020	172	0	0	9
10/04/2020	317	0	0	7
09/04/2020	327	0	0	10
08/04/2020	286	0	0	9
07/04/2020	264	0	0	9
06/04/2020	401	0	0	4
05/04/2020	86	0	0	9
04/04/2020	114	0	0	11
03/04/2020	203	0	0	11
02/04/2020	223	0	0	3
01/04/2020	239	0	0	9
31/03/2020	212	0	0	3
30/03/2020	210	0	0	2
29/03/2020	75	0	0	4
28/03/2020	99	0	0	1
27/03/2020	167	0	0	1
26/03/2020	197	0	0	1
25/03/2020	198	0	0	1
24/03/2020	176	1	0	1
23/03/2020	234	0	0	0
22/03/2020	72	0	0	1
21/03/2020	76	0	0	0
20/03/2020	164	0	0	0
19/03/2020	161	0	0	0
18/03/2020	152	0	0	0
17/03/2020	109	0	0	0
16/03/2020	103	0	0	0
15/03/2020	14	0	0	0
14/03/2020	9	0	0	0
13/03/2020	57	0	0	0
12/03/2020	15	0	0	1
11/03/2020	11	0	0	0
10/03/2020	5	0	0	0
09/03/2020	0	0	0	0
08/03/2020	4	0	0	0
07/03/2020	1	0	0	0
06/03/2020	0	0	0	0
05/03/2020	0	0	0	0
04/03/2020	1	0	0	0
03/03/2020	0	0	0	0
02/03/2020	1	0	0	0
